Run,Bytes
SRR12570168,908105862
SRR12570167,899460403
SRR12570165,884646577
SRR12570152,882910030
SRR12570166,879831838
SRR12570151,879295129
SRR12570150,873629532
SRR12570157,863027828
SRR12570149,859941545
SRR12570208,855681613
SRR12570209,855646927
SRR12570156,854116863
SRR12570206,854019889
SRR12570207,848917757
SRR12570169,842536252
SRR12570155,837236173
SRR12570164,825202752
SRR12570163,816829246
SRR12570154,806416993
SRR12570162,801474539
SRR12570141,788872358
SRR12570140,784552687
SRR12570139,781332625
SRR12570136,781047283
SRR12570090,770548089
SRR12570135,769917979
SRR12570204,767276521
SRR12570153,766563365
SRR12570205,766547595
SRR12570099,766019057
SRR12570217,766014529
SRR12570134,763020174
SRR12570100,762065330
SRR12570203,760360762
SRR12570098,758764059
SRR12570125,751532761
SRR12570133,749805406
SRR12570116,745982358
SRR12570180,743146541
SRR12570173,741394186
SRR12570124,740882793
SRR12570179,739573991
SRR12570172,737642990
SRR12570115,733057042
SRR12570123,729472691
SRR12570178,727679234
SRR12570234,726877224
SRR12570114,726539139
SRR12570171,725912472
SRR12570188,725317026
SRR12570170,725101083
SRR12570189,723158340
SRR12570185,722718741
SRR12570105,720987392
SRR12570137,720201299
SRR12570187,718444407
SRR12570092,717205074
SRR12570093,716268026
SRR12570106,716229275
SRR12570091,713016083
SRR12570201,709507508
SRR12570184,699476587
SRR12570183,695345743
SRR12570211,692617666
SRR12570212,691978849
SRR12570109,691651179
SRR12570202,691143973
SRR12570210,688112883
SRR12570182,684897644
SRR12570220,683512535
SRR12570233,682676406
SRR12570221,682241090
SRR12570181,681038951
SRR12570108,680480577
SRR12570219,678312495
SRR12570107,673341247
SRR12570129,672459258
SRR12570132,664688466
SRR12570121,664169459
SRR12570128,663617283
SRR12570127,655357848
SRR12570131,654865673
SRR12570218,653121628
SRR12570228,651579643
SRR12570227,651558028
SRR12570130,649307581
SRR12570226,649280161
SRR12570101,648825342
SRR12570126,645515983
SRR12570103,645137130
SRR12570104,642186714
SRR12570102,639899916
SRR12570122,637364456
SRR12570229,615217225
SRR12570120,615104704
SRR12570231,614290921
SRR12570232,613815744
SRR12570230,611179507
SRR12570119,604932477
SRR12570195,604324654
SRR12570196,600444056
SRR12570113,600030738
SRR12570118,598515329
SRR12570194,597804670
SRR12570112,591788608
SRR12570213,591577159
SRR12570186,591303749
SRR12570117,590716257
SRR12570215,589474821
SRR12570216,583586237
SRR12570111,580793337
SRR12570199,578290536
SRR12570110,577207247
SRR12570214,575506829
SRR12570200,575304981
SRR12570198,572113199
SRR12570225,568865012
SRR12570222,568439400
SRR12570224,568379430
SRR12570197,565642625
SRR12570223,565559887
SRR12570236,558331974
SRR12570237,557904357
SRR12570235,549324874
SRR12570094,542292091
SRR12570096,540791353
SRR12570097,539071781
SRR12570095,535767398
SRR12570192,526904772
SRR12570193,523919472
SRR12570145,521577760
SRR12570144,518488911
SRR12570191,518066530
SRR12570143,516571086
SRR12570190,514244808
SRR12570142,506031993
SRR12570238,499987699
SRR12570239,490260445
SRR12570148,444275134
SRR12570147,443069458
SRR12570146,440360874
SRR12570177,439270528
SRR12570176,436775267
SRR12570138,432835710
SRR12570175,430012800
SRR12570174,427746173
SRR12570161,106100718
SRR12570160,105282650
SRR12570158,103791361
SRR12570159,103180983
